Need to verify all of this?,,
Saturn File #,PSX Filename,
1597,./SCN/SMPG7C00.DAT:0:ES,
1598,./SCN/SMPG7C02.DAT:0:ES,
1599,./SCN/SMPG8000.DAT:0:ES,
1600,./SCN/SMPG8004.DAT:0:ES,
1601,./SCN/SMPG8800.DAT:0:ES,
1602,./SCN/SMPG8C00.DAT:0:ES,
1603,./SCN/SMPG8C05.DAT:0:ES,
1604,./SCN/SMPG8C20.DAT:0:ES,
1605,./SCN/SMPG8C40.DAT:0:ES,
1606,./SCN/SMPG9000.DAT:0:ES,
1607,./SCN/SMPG9400.DAT:0:ES,
1608,./SCN/SMPG9800.DAT:0:ES,
1609,./SCN/SMPG9C00.DAT:0:ES,
1610,./SCN/SMPGA000.DAT:0:ES,
1611,./SCN/SMPGA001.DAT:0:ES,
1612,./SCN/SMPGA004.DAT:0:ES,
1613,./SCN/SMPGA400.DAT:0:ES,
1614,./SCN/SMPGA404.DAT:0:ES,
1615,./SCN/SMPGA800.DAT:0:ES,
1616,./SCN/SMPGAC00.DAT:0:ES,
1617,./SCN/SMPGAC08.DAT:0:ES,
1618,./SCN/SMPGB000.DAT:0:ES,
1619,./SCN/SMPGB014.DAT:0:ES,
1620,./SCN/SMPGB018.DAT:0:ES,
1621,./SCN/SMPGB400.DAT:0:ES,
1622,./SCN/SMPGB800.DAT:0:ES,
1623,./SCN/SMPGBC00.DAT:0:ES,
1624,./SCN/SMPGBC04.DAT:0:ES,
1625,./SCN/SMPGC000.DAT:0:ES,
1626,./SCN/SMPGC004.DAT:0:ES,
1627,./SCN/SMPGC400.DAT:0:ES,
1628,./SCN/SMPGC800.DAT:0:ES,
1629,./SCN/SMPGC804.DAT:0:ES,
1630,./SCN/SMPGCC00.DAT:0:ES,
1631,./SCN/SMPGD000.DAT:0:ES,
1632,./SCN/SMPGD400.DAT:0:ES,
1633,./SCN/SMPGE000.DAT:0:ES,
1634,./SCN/SMPGE200.DAT:0:ES,
1635,./SCN/SMPGE400.DAT:0:ES,
1636,./SCN/SMPGE800.DAT:0:ES,
1637,./SCN/SMPGEA00.DAT:0:ES,
1638,./SCN/SMPGEC00.DAT:0:ES,
2440,./SCN/SMPGF000.DAT:0:ES,2x Offsets
2441,./SCN/SMPGF400.DAT:0:ES,
2442,./ETC/MEDALION.DAT,Same Offset
Nothing,./ETC/SYSMSG.DAT:0:ES,
